ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Customer_duration_days
1826,44,3,2,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,3089
1,53,3,1,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,3090
10476,56,3,4,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,3123
1386,47,3,4,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,3125
5371,25,3,1,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,3158
7348,56,4,1,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,3180
4073,60,2,4,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,3227
1991,47,3,4,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,3238
4047,60,4,4,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,3245
9477,60,4,4,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,3245
2079,66,2,4,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,3260
5642,34,3,4,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,3278
10530,54,4,3,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,3280
2964,32,3,4,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,3332
10311,44,3,4,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,3343
837,36,3,4,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,3367
10521,36,3,4,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,3367
10175,55,4,2,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,3408
1473,53,2,1,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,3417
2795,55,3,1,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,3439
2285,59,3,4,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,3473
115,47,3,1,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,3536
10470,34,3,4,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,3547
4065,37,4,4,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,3578
10968,43,3,1,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,3659
5985,47,3,1,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,3700
5430,56,3,4,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,3729
8432,56,3,4,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,3729
453,58,4,3,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,3076
9687,39,3,1,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,3105
8890,43,4,2,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,3106
9264,28,3,4,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,3139
5824,42,4,4,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,3155
5794,40,4,4,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,3180
3068,23,3,4,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,3319
7962,26,4,1,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,3339
2681,29,2,4,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,3408
10141,53,3,2,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,3491
3725,52,4,1,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,3492
3767,45,3,4,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,3506
5585,41,3,1,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,3511
7030,58,4,4,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,3532
1524,30,2,1,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,3561
3657,27,3,1,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,3576
5740,43,2,2,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,3576
9595,52,3,4,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,3610
3158,40,3,4,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,3618
5114,47,3,4,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,3633
340,42,3,2,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,3637
8805,52,3,1,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,3650
1241,28,2,4,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,3726
1402,58,3,4,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,3732
7264,36,2,1,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,3124
1619,58,3,4,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,3138
6398,40,1,4,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,3168
1857,62,3,1,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,3191
4877,41,3,4,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,3193
3066,39,4,4,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,3221
10286,52,3,4,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,3222
1992,50,3,4,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,3255
4246,31,3,1,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,3275
10623,52,3,4,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,3302
4867,45,4,1,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,3358
3112,36,3,4,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,3373
4865,39,3,2,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,3378
6287,27,3,4,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,3410
4405,57,3,4,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,3410
5332,53,2,4,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,3413
1519,41,4,1,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,3448
9080,41,4,1,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,3448
1772,38,4,4,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,3610
5341,51,2,2,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,3616
5510,35,3,4,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,3661
3887,42,3,1,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,3671
